id(int),leftCharacter(string),rightCharacter(string),isSpeakerLeft(bool),dialogue(string)
0,,,,"195X년 1월, 피난길."
1,,,,엄마는 짐을 들고 동생의 손을 꼭 잡은 채 걸어간다. 바로 뒤를 따르는 소년.
2,sister,mom_enduring,1,엄마… 너무 추워… 발 아파…
3,sister,mom_enduring,0,거의 다 왔어… 조금만 참자.
4,,,,복잡하고 미끄러운 피난길을 힘겹게 나아가는 세 사람.
5,,,,"갑자기 앞에서 군용 트럭이 지나가며 사람들을 밀어내고, 인파가 크게 흔들린다."
6,,,,소년은 균형을 잃고 풀썩 넘어진다.
7,boy_panicked,,1,엄마?! 잠깐만?!
8,boy_panicked,,,사람들의 어깨와 보따리가 시야를 가린다.
9,boy_panicked,,,"엄마와 동생의 손이 시야에서 완전히 사라지고, 소년의 호흡은 거칠어진다."
10,boy_panicked,,1,엄마!!
11,,,,주인공은 인파를 가르며 필사적으로 앞으로 나아간다.
12,,,,"눈발은 더 심해지고, 울음 섞인 다른 아이들의 목소리가 뒤엉켜 산만하게 들린다."
13,,,,"한참을 헤맨 끝에, 길 한 구석에서 덜덜 떨고 있는 엄마와 동생을 발견한다."
14,,,,엄마는 동생을 끌어안은 채 주위를 두리번거리고 있다.
15,mom_relieved,,1,너 어디 갔었던 거야… 놀랐잖아…
16,mom_relieved,,,주인공은 숨을 몰아쉬다가 시선을 떨군다.
17,mom_relieved,boy_powerless,,소년의 가슴 속에는 두고 온 할아버지의 말씀이 떠오른다.
18,mom_relieved,boy_powerless,,“""네가 엄마와 동생을 잘 지켜주어야 한다.”""
19,mom_relieved,boy_powerless,,소년의 앳된 얼굴엔 그늘이 드리운다.
